Aeropuerto;Nombre;Municipio;Pais;departamento
SJD;SAN JOSE DEL CABO / INTL;SAN JOSE DEL CABO;MEXICO;
TAM;FRANCISCO JAVIER MINA / INTL;TAMPICO;MEXICO;
TIJ;ABELARDO L. RODRIGUEZ / INTL;TIGUANA;MEXICO;
TRC;TORREON / INTL;TORREON;MEXICO;
VSA;VILLAHERMOSA;VILLA HERMOSA;MEXICO;
TLC;LICENCIADO ADOLFO LOPEZ MATEOS INTL;TOLUCA;MEXICO;
CZA;CHICHEN ITZA INTERNATIONAL;MERIDA;MEXICO;
PAC;MARCOS A GELABERT INTL;PAITILLA;PANAMA;
PTY;TOCUMEN INTL;PANAMA;PANAMA;
DAV;ENRIQUE MALEK;DAVID;PANAMA;
BLB;BILBOA ALBROOK AFS;BALBOA;PANAMA;
ASU;SILVIO PETTIROSSI INTL;ASUNCION;PARAGUAY;
GES;GUARANI;CIUDAD DEL ESTE;PARAGUAY;
LIM;CALLAO /INTL JORGE CHAVEZ;LIMA;PERU;
IQT;CORONEL FAP FRANCISCO SECADA VIGNET;IQUITOS;PERU;
CUZ;VELAZCO ASTETE;CUZCO;PERU;
LIS;LISBOA;LISBOA;PORTUGAL;
OPO;PORTO;PORTO;PORTUGAL;
PAZ;SANTA MARIA;SANTA MARIA;PORTUGAL;
SJU;LUIS MUNOZ MARIN INTL;SAN JUAN;PUERTO RICO;
DOH;DOHA;QATAR;QATAR;
SDQ;LAS AMERICAS;SANTO DOMINGO;REPUBLICA DOMINICANA;
PUJ;PUNTA CANA INTL;PUNTA CANA;REPUBLICA DOMINICANA;
LRM;LA ROMANA;LA ROMANA;REPUBLICA DOMINICANA;
STI;CIBAO INTERNATIONAL;SANTIAGO DE LOS CABALLEROS;REPUBLICA DOMINICANA;
POP;PUERTO PLATA;PUERTO PLATA;REPUBLICA DOMINICANA;
ZRH;ZURICH;ZURICH;SUIZA;
PBM;PARAMARIBO;PARAMARIBO;SURINAME;
MCA;CAYANA;CAYANA;SURINAME;
POS;PIARCO;PUERTO ESPANA;TRINIDAD Y TOBAGO;
IST;ISTANBUL AIRPORT;ESTAMBUL;TURQUIA;
MVD;CARRASCO;MONTEVIDEO;URUGUAY;
CCS;SIMON BOLIVAR INTL;CARACAS;VENEZUELA;
MAR;LA CHINITA INTL;MARACAIBO;VENEZUELA;
VLN;ARTURO MICHELENA INTL;VALENCIA;VENEZUELA;
PMV;DEL CARIBE INTL GEN SANTAGO MARINO;POR LA MAR;VENEZUELA;
STD;MAYOR BUENAVENTURA VIVAS;SANTO DOMINGO;VENEZUELA;
BLA;BARCELONA/INTL.GRAL JOSE ANTON;ANZOATEGUI;VENEZUELA;
VIG;JUAN PABLO PEREZ ALFONSO;MERIDA;VENEZUELA;
MOR;MORICHITO;;;
ZZZ;AEROPUERTO DESCONOCIDO INTERNAL;;;
LCD;CANDELARIA;;;
TRA;TIERRADENTRO;;;
MRA;MIRAVALLE;;;
STM;SANTA MARIA;;;
LPM;LAS PALMITAS;;;
