id_centro_poblado,nombre_centro_poblado,municipio,departamento
5045015,LOMA VERDE,APARTADÓ,ANTIOQUIA
5045016,SAN PABLO,APARTADÓ,ANTIOQUIA
5051000,ARBOLETES,ARBOLETES,ANTIOQUIA
5051001,BUENOS AIRES,ARBOLETES,ANTIOQUIA
5051003,EL CARMELO,ARBOLETES,ANTIOQUIA
5051005,LAS NARANJITAS,ARBOLETES,ANTIOQUIA
5051008,EL YESO,ARBOLETES,ANTIOQUIA
5051009,LA TRINIDAD,ARBOLETES,ANTIOQUIA
5051010,LAS PLATAS (SANTAFÉ),ARBOLETES,ANTIOQUIA
5051011,LA CANDELARIA,ARBOLETES,ANTIOQUIA
5051014,EL GUADUAL,ARBOLETES,ANTIOQUIA
5055000,ARGELIA,ARGELIA,ANTIOQUIA
5059000,ARMENIA,ARMENIA,ANTIOQUIA
5059001,LA HERRADURA,ARMENIA,ANTIOQUIA
5059003,EL SOCORRO,ARMENIA,ANTIOQUIA
5059006,FILO SECO,ARMENIA,ANTIOQUIA
5059009,PALMICHAL,ARMENIA,ANTIOQUIA
5079000,BARBOSA,BARBOSA,ANTIOQUIA
5079001,HATILLO,BARBOSA,ANTIOQUIA
5079005,PLATANITO,BARBOSA,ANTIOQUIA
5079008,ISAZA,BARBOSA,ANTIOQUIA
5079014,POPALITO,BARBOSA,ANTIOQUIA
5079016,YARUMITO,BARBOSA,ANTIOQUIA
5079017,TABLAZO - HATILLO,BARBOSA,ANTIOQUIA
5079018,EL PARAISO,BARBOSA,ANTIOQUIA
5079019,EL SALADITO,BARBOSA,ANTIOQUIA
5079020,LOMITA 1,BARBOSA,ANTIOQUIA
5079021,LOMITA 2,BARBOSA,ANTIOQUIA
5079022,LA PRIMAVERA,BARBOSA,ANTIOQUIA
5079023,TAMBORCITO,BARBOSA,ANTIOQUIA
5086000,BELMIRA,BELMIRA,ANTIOQUIA
5086001,LABORES,BELMIRA,ANTIOQUIA
5086003,RÍO ARRIBA,BELMIRA,ANTIOQUIA
5088000,BELLO,BELLO,ANTIOQUIA
5088008,POTRERITO,BELLO,ANTIOQUIA
5088013,SAN FÉLIX,BELLO,ANTIOQUIA
5088018,EL PINAR,BELLO,ANTIOQUIA
5088020,EL ALBERGUE,BELLO,ANTIOQUIA
5088022,LA CHINA,BELLO,ANTIOQUIA
5088023,LA UNIÓN,BELLO,ANTIOQUIA
5091000,BETANIA,BETANIA,ANTIOQUIA
5091003,SAN LUIS,BETANIA,ANTIOQUIA
5093000,BETULIA,BETULIA,ANTIOQUIA
5093001,ALTAMIRA,BETULIA,ANTIOQUIA
5101000,CIUDAD BOLÍVAR,CIUDAD BOLÍVAR,ANTIOQUIA
5101002,SAN BERNARDO DE LOS FARALLONES,CIUDAD BOLÍVAR,ANTIOQUIA
5101006,ALFONSO LÓPEZ (SAN GREGORIO),CIUDAD BOLÍVAR,ANTIOQUIA
5101008,VILLA ALEGRÍA,CIUDAD BOLÍVAR,ANTIOQUIA
5101010,EL CABRERO - BOLÍVAR ARRIBA,CIUDAD BOLÍVAR,ANTIOQUIA
5107000,BRICEÑO,BRICEÑO,ANTIOQUIA
5107001,BERLÍN (PUEBLO NUEVO),BRICEÑO,ANTIOQUIA
5107002,EL ROBLAL,BRICEÑO,ANTIOQUIA
5107003,LAS AURAS,BRICEÑO,ANTIOQUIA
5107004,TRAVESIAS,BRICEÑO,ANTIOQUIA
5113000,BURITICÁ,BURITICÁ,ANTIOQUIA
5113001,EL NARANJO,BURITICÁ,ANTIOQUIA
5113002,GUARCO,BURITICÁ,ANTIOQUIA
5113003,TABACAL,BURITICÁ,ANTIOQUIA
5113004,LLANOS DE URARCO,BURITICÁ,ANTIOQUIA
5113005,LA ANGELINA,BURITICÁ,ANTIOQUIA
5113008,LA MARIELA,BURITICÁ,ANTIOQUIA
5120000,CÁCERES,CÁCERES,ANTIOQUIA
5120002,EL JARDÍN (TAMANÁ),CÁCERES,ANTIOQUIA
5120003,GUARUMO,CÁCERES,ANTIOQUIA
5120004,MANIZALES,CÁCERES,ANTIOQUIA
5120006,PUERTO BÉLGICA,CÁCERES,ANTIOQUIA
5120010,PIAMONTE,CÁCERES,ANTIOQUIA
5120012,RÍO MAN,CÁCERES,ANTIOQUIA
5120013,LAS PAMPAS,CÁCERES,ANTIOQUIA
5120014,NICARAGUA,CÁCERES,ANTIOQUIA
5120015,PUERTO SANTO,CÁCERES,ANTIOQUIA
5125000,CAICEDO,CAICEDO,ANTIOQUIA
5129000,CALDAS,CALDAS,ANTIOQUIA
5129001,EL CAÑO,CALDAS,ANTIOQUIA
5129002,LA RAYA,CALDAS,ANTIOQUIA
5129004,LA MIEL,CALDAS,ANTIOQUIA
5129005,LA CORRALITA,CALDAS,ANTIOQUIA
5129006,LA PRIMAVERA,CALDAS,ANTIOQUIA
5129007,EL RAIZAL,CALDAS,ANTIOQUIA
5129008,LA CLARA,CALDAS,ANTIOQUIA
5129009,LA QUIEBRA,CALDAS,ANTIOQUIA
5129010,LA SALADA PARTE BAJA,CALDAS,ANTIOQUIA
5129011,LA TOLVA,CALDAS,ANTIOQUIA
5129012,LA VALERIA,CALDAS,ANTIOQUIA
5129013,LA AGUACATALA,CALDAS,ANTIOQUIA
5129015,LA CHUSCALA,CALDAS,ANTIOQUIA
5129016,SALINAS,CALDAS,ANTIOQUIA
5134000,CAMPAMENTO,CAMPAMENTO,ANTIOQUIA
5134001,LA CHIQUITA,CAMPAMENTO,ANTIOQUIA
5134002,LA SOLITA,CAMPAMENTO,ANTIOQUIA
5134003,LLANADAS,CAMPAMENTO,ANTIOQUIA
5138000,CAÑASGORDAS,CAÑASGORDAS,ANTIOQUIA
5138001,BUENOS AIRES - PARTE ALTA,CAÑASGORDAS,ANTIOQUIA
5138002,CESTILLAL,CAÑASGORDAS,ANTIOQUIA
5138003,JUNTAS DE URAMITA,CAÑASGORDAS,ANTIOQUIA
5138005,SAN PASCUAL,CAÑASGORDAS,ANTIOQUIA
5138009,VILLA VICTORIA,CAÑASGORDAS,ANTIOQUIA
5142000,CARACOLÍ,CARACOLÍ,ANTIOQUIA
5145000,CARAMANTA,CARAMANTA,ANTIOQUIA
5145001,ALEGRÍAS,CARAMANTA,ANTIOQUIA
5145002,SUCRE,CARAMANTA,ANTIOQUIA
5147000,CAREPA,CAREPA,ANTIOQUIA
5147003,PIEDRAS BLANCAS,CAREPA,ANTIOQUIA
5147004,ZUNGO EMBARCADERO - PUEBLO NUEVO,CAREPA,ANTIOQUIA
5147005,ZUNGO EMBARCADERO - 11 DE NOVIEMBRE,CAREPA,ANTIOQUIA
5147006,CASA VERDE,CAREPA,ANTIOQUIA
5147007,EL ENCANTO,CAREPA,ANTIOQUIA
5147008,ZUNGO EMBARCADERO - 28 DE OCTUBRE,CAREPA,ANTIOQUIA
5147009,BELENCITO,CAREPA,ANTIOQUIA
5147010,BOSQUES DE LOS ALMENDROS,CAREPA,ANTIOQUIA
5147011,CAREPITA CANALUNO,CAREPA,ANTIOQUIA
5147012,SACRAMENTO LA LUCHA,CAREPA,ANTIOQUIA
5147013,LOS NARANJALES,CAREPA,ANTIOQUIA
5147014,VIJAGUAL,CAREPA,ANTIOQUIA
5148000,EL CARMEN DE VIBORAL,EL CARMEN DE VIBORAL,ANTIOQUIA
5148003,AGUAS CLARAS,EL CARMEN DE VIBORAL,ANTIOQUIA
5148005,LA CHAPA,EL CARMEN DE VIBORAL,ANTIOQUIA
