id,id_fecha,id_centro_poblado,id_aeropuerto,id_categoria,id_tipo_cobertura,distancia
4507,4702,19100021,836,R,A,98.60948052
4508,4702,19100041,725,I,A,136.6968464
4509,4702,19100041,779,N,A,64.39988641
4510,4702,19100041,782,R,A,107.9298875
4511,4702,19100042,725,I,A,137.924329
4512,4702,19100042,779,N,A,65.02278123
4513,4702,19100042,782,R,A,92.98123522
4514,4702,19110000,436,A,A,20.9058834
4515,4702,19110000,674,I,A,65.41802216
4516,4702,19110000,776,N,A,62.50912202
4517,4702,19110006,436,A,A,20.52536609
4518,4702,19110006,674,I,A,62.44507823
4519,4702,19110006,776,N,A,71.34627437
4520,4702,19110007,436,A,A,25.28521564
4521,4702,19110007,674,I,A,69.66075127
4522,4702,19110007,776,N,A,59.99594941
4523,4702,19110008,436,A,A,11.47523122
4524,4702,19110008,674,I,A,56.00513795
4525,4702,19110008,776,N,A,70.61886008
4526,4702,19110012,436,A,A,11.16579577
4527,4702,19110012,674,I,A,54.89817329
4528,4702,19110012,776,N,A,73.44891493
4529,4702,19110013,436,A,A,23.80258759
4530,4702,19110013,674,I,A,64.42604638
4531,4702,19110013,776,N,A,72.5713313
4532,4702,19110016,436,A,A,18.07043136
4533,4702,19110016,674,I,A,62.0619875
4534,4702,19110016,776,N,A,67.42668005
4535,4702,19110025,436,A,A,23.27345993
4536,4702,19110025,674,I,A,67.77629137
4537,4702,19110025,776,N,A,60.59516469
4538,4702,19110029,436,A,A,24.35818345
4539,4702,19110029,674,I,A,66.06018484
4540,4702,19110029,776,N,A,69.82301316
4541,4702,19110030,436,A,A,26.01846869
4542,4702,19110030,674,I,A,70.50076804
4543,4702,19110030,776,N,A,58.526162
4544,4702,19130000,674,I,N,104.4077163
4545,4702,19130000,776,N,N,19.30024545
4546,4702,19130000,782,R,N,100.8110669
4547,4702,19130004,674,I,N,103.9664601
4548,4702,19130004,776,N,N,25.60573228
4549,4702,19130004,782,R,N,112.9998488
4550,4702,19130005,674,I,N,111.4138526
4551,4702,19130005,776,N,N,22.23156262
4552,4702,19130005,782,R,N,110.5419548
4553,4702,19130006,674,I,N,110.0181907
4554,4702,19130006,776,N,N,14.55499296
4555,4702,19130006,782,R,N,100.6629484
4556,4702,19130007,674,I,N,101.256022
4557,4702,19130007,776,N,N,24.21780619
4558,4702,19130007,782,R,N,109.3725132
4559,4702,19130008,674,I,N,107.7256173
4560,4702,19130008,776,N,N,16.40169227
4561,4702,19130008,782,R,N,96.33402177
4562,4702,19130009,674,I,N,107.9155836
4563,4702,19130009,776,N,N,24.62518366
4564,4702,19130009,782,R,N,112.7735406
4565,4702,19130010,674,I,N,106.1620483
4566,4702,19130010,710,R,N,120.7061095
4567,4702,19130010,776,N,N,35.29855061
4568,4702,19130017,674,I,N,105.9614788
4569,4702,19130017,776,N,N,18.71207123
4570,4702,19130017,782,R,N,96.27497302
4571,4702,19130018,674,I,N,110.3541315
4572,4702,19130018,776,N,N,13.74779546
4573,4702,19130018,782,R,N,94.71083681
4574,4702,19130019,674,I,N,108.081605
4575,4702,19130019,776,N,N,16.40441355
4576,4702,19130019,782,R,N,95.26228982
4577,4702,19130020,674,I,N,103.9099338
4578,4702,19130020,776,N,N,32.81256735
4579,4702,19130020,782,R,N,120.9702996
4580,4702,19130021,674,I,N,110.0486921
4581,4702,19130021,776,N,N,22.78096474
4582,4702,19130021,782,R,N,111.0440036
4583,4702,19130022,674,I,N,110.9253392
4584,4702,19130022,776,N,N,12.96887787
4585,4702,19130022,782,R,N,95.0163581
4586,4702,19137000,674,I,A,83.61856618
4587,4702,19137000,776,N,A,40.70304897
4588,4702,19137000,782,R,A,113.61359
4589,4702,19137001,674,I,A,79.53145111
4590,4702,19137001,776,N,A,44.45945269
4591,4702,19137001,782,R,A,117.896289
4592,4702,19137002,674,I,A,77.71400729
4593,4702,19137002,776,N,A,46.08546396
4594,4702,19137002,782,R,A,123.0334299
4595,4702,19137004,674,I,N,84.8689402
4596,4702,19137004,776,N,N,38.88483292
4597,4702,19137004,782,R,N,116.8893786
4598,4702,19137007,674,I,N,89.60786645
4599,4702,19137007,776,N,N,36.65796489
4600,4702,19137007,782,R,N,105.9298232
4601,4702,19137008,674,I,N,85.58953356
4602,4702,19137008,776,N,N,38.22067268
4603,4702,19137008,782,R,N,113.8852551
4604,4702,19137013,674,I,N,84.01079883
4605,4702,19137013,776,N,N,39.71978769
4606,4702,19137013,782,R,N,117.2973814
4607,4702,19142000,674,I,A,56.67952689
4608,4702,19142000,776,N,A,68.24904809
4609,4702,19142004,674,I,A,53.25360207
4610,4702,19142004,776,N,A,73.64487309
4611,4702,19142007,674,I,A,47.70625349
4612,4702,19142007,776,N,A,81.19296198
4613,4702,19142011,674,I,A,44.92074397
4614,4702,19142011,776,N,A,78.96513597
4615,4702,19142015,674,I,A,49.65484944
4616,4702,19142015,776,N,A,74.46250663
4617,4702,19142030,674,I,A,51.53041069
4618,4702,19142030,776,N,A,72.88971672
4619,4702,19142031,674,I,A,61.5503973
4620,4702,19142031,776,N,A,64.95454361
4621,4702,19142032,674,I,A,52.42938281
4622,4702,19142032,776,N,A,74.43826278
4623,4702,19142034,674,I,A,51.53924436
4624,4702,19142034,776,N,A,73.0747205
4625,4702,19142038,674,I,A,53.40259499
4626,4702,19142038,776,N,A,72.81004754
4627,4702,19142039,674,I,A,52.40114634
4628,4702,19142039,776,N,A,72.17340311
4629,4702,19142045,674,I,A,54.91111746
4630,4702,19142045,776,N,A,71.08408196
4631,4702,19142050,674,I,A,48.45733489
4632,4702,19142050,776,N,A,78.37598182
4633,4702,19142051,674,I,A,58.97795632
4634,4702,19142051,776,N,A,66.06065172
4635,4702,19142056,674,I,A,50.14027319
4636,4702,19142056,776,N,A,77.01405308
4637,4702,19212000,674,I,A,43.18230724
4638,4702,19212000,776,N,A,88.89086824
4639,4702,19212001,674,I,A,45.76954046
4640,4702,19212001,776,N,A,83.82209234
4641,4702,19212004,674,I,A,44.53643539
4642,4702,19212004,776,N,A,91.92579345
4643,4702,19212005,674,I,A,43.93691262
4644,4702,19212005,776,N,A,93.0073106
4645,4702,19212008,674,I,A,44.24864351
